hostL,hostW,ip,port,passwordL,passwordW,mac,hostname
master,Admin,10.0.150.58,******,******,******,******,100
master,Admin,10.0.150.59,******,******,******,******,101
master,Admin,10.0.150.60,******,******,******,******,102
master,Admin,10.0.150.61,******,******,******,******,103
master,Admin,10.0.150.62,******,******,******,******,104
master,Admin,10.0.150.46,******,******,******,******,110
master,Admin,10.0.150.47,******,******,******,******,111
master,Admin,10.0.150.138,******,******,******,******,112
master,Admin,10.0.150.49,******,******,******,******,113
master,Admin,10.0.150.50,******,******,******,******,114
master,Admin,10.0.150.51,******,******,******,******,115
master,Admin,10.0.150.52,******,******,******,******,116
master,Admin,10.0.150.53,******,******,******,******,117
master,Admin,10.0.150.54,******,******,******,******,118
master,Admin,10.0.150.48,******,******,******,******,119
master,Admin,10.0.150.55,******,******,******,******,120
master,Admin,10.0.150.193,******,******,******,******,121